"positive","Our hearty congrats!  grab the 18GS on sunday. Shall v xpect you walking up  to ur stand and hug ur kith and kins?"
"positive","We take a look back at who #SerenaWilliams defeated on her way to the #Wimbledon final"
"positive","An inspired Roger Federer ends Andy Murray's hopes of another @Wimbledon final"
"positive","Swoon! Watch David Beckham Effortlessly Catch a Tennis Ball One-Handed at Wimbledon"
"positive","Let's do this @serenawilliams @pmouratoglou opportunity and belief #greatness #Wimbledon Lol NO. #bishplease #queenserena"
"positive","I voted for @serenawilliams to win today's match @Wimbledon. #VoteTheQueue"
"positive","Seeing Roger Federer and Serena Williams make Wimbledon finals aged 34 is good to see. Gives some hope to us thirty-somethings."
"positive","Semi-Final Against Andy Murray One of My Best Matches, Says Roger Federer: Roger Federer"
"positive","If this win had a Samprasian feel for much of the way, it ended on a traditionally Federesque note." #Wimbledon"
"positive","Roger Federer has never served better"
"positive","I voted for @serenawilliams to win today's match @Wimbledon. #VoteTheQueue"
"positive","Federer Sweeps To Wimbledon Final"
"positive","Roger Federer slams Andy Murray in straight sets to book final place You gotta love her https://t.co/Ig52qoLy6a"
"positive","@rogerfederer awesome display of tennis yesterday..love watching ur game..wish u win Wimbledon  again.gud luck champ.."
"positive","Related News: Wimbledon 2015: Novak Djokovic Beats Richard Gasquet to Reach Final - Tennis - The New York Times |  http://t.co/HG53S6EfI8"
"positive","New Video: Roddick: Roger Federer 'had it all working' against Andy Murray http://t.co/VGglvowrts"
"positive","@serenawilliams we are right behind you! @Wimbledon #SerenaWilliams http://t.co/9N8JPqiM8i"
"positive","ICYMI... Novak Djokovic reaches third consecutive Wimbledon final as reigning champion seals straigh... "
"positive","Serena eyes sixth Wimbledon title, 'Serena Slam' in final vs. Muguruza http://t.co/juoRCfqHWk"
"positive","@katielll me either I mean she's practically unbeatable once she gets to the final but she did lose one once at Wimbledon in a huge upset..."
"positive","Hooray! #GoRoger #Federer #Wimbledon2015 #WimbledonFinals #Wimbledon https://t.co/OUSovCoCo9"
"positive","One of the best matches ever played #KingRoger"
"positive","Love both of them :")) https://t.co/Jr0mmPavVb"
"positive","Serena to win in straight sets..."
"positive","Wimbledon preview: why Roger Federer will prove beyond reasonable doubt that he is the Greatest Of All Time"
"positive","All these pictures of Kit Harington at Wimbledon are making me feel some type of way good lord"
"positive","@Naomsss Naomi will get to Wimbledon. Confidence!!  :)"
"positive","David Beckham y su perfect catch en Wimbledon #Tendencias http://t.co/j59W0zMZZ6 #Moda"
"positive","I've also been reminded of mum with Wimbledon being on. She'd have been complaining like mad about how it was taking over the BBC :)"
"positive","Jokovic Vs Federer Wimbledon final again. I hope Federer wins"
"positive","David Beckham catches ball at Wimbledon like it's no big deal "
"positive","#NickKyrgios #bernardtomic should learn from @rogerfederer #RogerFederer no need 4 bad behaviour let ur #tennis do the talking! #Wimbledon"
"positive","Two Indians in the Wimbledon Doubles Finals."
"positive","Roger Federer: Roger Federer: Quest for Perfection: Regarded by many as the greatest tennis player in the history of  http://t.co/RtwVVZ8Ba9"
